appid,name,release_date,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,english,categories,genres
457210,SEUM: Speedrunners from Hell,2016-07-28,Pine Studio,Pine Studio,2453,135,"100,000 - 200,000",173,0,227,0,14.99,8,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Indie
266030,DRAKERZ-Confrontation,2014-05-19,Peoleo Entertainment,Peoleo Entertainment,135,126,"50,000 - 100,000",0,0,0,0,0.0,0,1,Single-player;Multi-player,Free to Play;Indie;Strategy
284950,Pixel Puzzles: Japan,2014-04-17,The Digital Puzzle Company,DL Softworks,1989,437,"200,000 - 500,000",308,0,299,0,0.0,3,1,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Simulation
290340,Armello,2015-09-01,League of Geeks,League of Geeks,11450,2458,"1,000,000 - 2,000,000",902,120,392,172,19.99,192,1,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled,Adventure;Indie;RPG;Strategy
838380,DEAD OR ALIVE 6,2019-02-28,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",4934,1826,"200,000 - 500,000",4997,219,207,219,59.99,195,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud;Steam Leaderboards,Action
785740,This Is the Police 2,2018-07-31,Weappy Studio,THQ Nordic,3484,1162,"200,000 - 500,000",1045,126,1468,126,14.99,57,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie;Strategy
580910,idleBeer,2017-08-31,Victor Corradi,Corradi Games,12,30,"200,000 - 500,000",324,0,327,0,0.99,0,1,Single-player;Steam Trading Cards,Casual;Indie;Simulation
447920,Drift (Over) Drive,2017-09-24,Retraissance,New Reality Games,18,24,"200,000 - 500,000",238,0,252,0,0.99,0,1,Single-player,Indie;Racing
327740,TRON 2.0,2014-10-10,"Monolith Productions, Inc.",Disney,475,51,"100,000 - 200,000",0,0,0,0,9.99,2,1,Single-player;Steam Cloud,Action
429470,Space Pilgrim Episode I: Alpha Centauri,2015-12-21,"Pilgrim Adventures, GrabTheGames Studios",GrabTheGames,1005,142,"1,000,000 - 2,000,000",231,0,242,0,0.0,0,1,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie
33570,Patrician III,2010-11-18,Ascaron Entertainment ltd.,Kalypso Media Digital,522,117,"100,000 - 200,000",19,0,19,0,4.99,34,1,Single-player,RPG;Simulation;Strategy
245050,SpellForce 2 - Demons of the Past,2014-01-16,"THQ Nordic, Mind Over Matter Studios",THQ Nordic,130,138,"200,000 - 500,000",255,0,376,0,19.99,7,1,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Includes level editor,RPG;Strategy
